billing_country	product_cluster	pid_code	pid_name	published_min_rev	published_max_rev	discount
CL	TDExport	CLBZ00044	TDE_25%	7.9200	7.9800	0.25000
CL	TDDom	CLBZ00329	TDD_68%	3654261.2400	3654261.3000	0.68000
CL	TDDom	CLBZ00343	TDD_82%	18271308.4200	18271308.4800	0.82000
CL	TDDom	CLBZ00301	TDD_38%	228390.8400	228390.9000	0.38000
CL	TDImport	CLBZ00158	TDI_49%	96.4200	96.4800	0.49000
CL	TDImport	CLBZ00145	TDI_36%	12.0600	16.0800	0.36000
CL	TDDom	CLBZ00295	TDD_31%	114195.2400	137034.3000	0.31000
CL	TDImport	CLBZ00135	TDI_25%	11.8800	11.9400	0.25000
CL	TDExport	CLBZ00065	TDE_46%	56.2800	64.2600	0.46000
CL	TD3rd	CLBZ00228	TD3_42%	146.1000	219.1200	0.42000
CL	TDImport	CLBZ00115	TDI_05%	0.0000	0.0600	0.05000
CL	TDDom	CLBZ00349	TDD_88%	31974790.1400	31974790.2000	0.88000
CL	TDExport	CLBZ00082	TDE_64%	401.9400	482.4000	0.64000
CL	TD3rd	CLBZ00202	TD3_15%	0.0600	0.1800	0.15000
CL	TDExport	CLBZ00094	TDE_76%	1688.3400	2090.2200	0.76000
CL	TD3rd	CLBZ00249	TD3_64%	1278.5400	1278.6000	0.64000
CL	TDDom	CLBZ00285	TDD_21%	36542.1600	45677.7600	0.21000
CL	TDExport	CLBZ00067	TDE_48%	64.3200	80.4000	0.48000
CL	TD3rd	CLBZ00109	TD3_49%	328.7400	328.8000	0.49000
CL	TDDom	CLBZ00335	TDD_74%	6851740.3800	6851740.4400	0.74000
CL	TDDom	CLBZ00288	TDD_24%	54813.3600	54813.4200	0.24000
CL	TDDom	CLBZ00341	TDD_80%	13703481.1800	13703481.2400	0.80000
CL	TDImport	CLBZ00157	TDI_48%	80.4600	96.4200	0.48000
CL	TDImport	CLBZ00178	TDI_70%	1808.8800	1808.9400	0.70000
CL	TD3rd	CLBZ00248	TD3_63%	1095.9000	1278.5400	0.63000
CL	TDImport	CLBZ00168	TDI_60%	361.8600	401.9400	0.60000
CL	TD3rd	CLBZ00255	TD3_70%	1826.4600	1826.5200	0.70000
CL	TDDom	CLBZ00303	TDD_40%	274069.0800	274069.1400	0.40000
CL	TDDom	CLBZ00267	TDD_03%	913.0800	1826.6400	0.03000
CL	TD3rd	CLBZ00236	TD3_51%	365.2800	4383.9000	0.51000
CL	TDDom	CLBZ00325	TDD_63%	2283913.2000	2740695.8400	0.63000
CL	TDDom	CLBZ00327	TDD_65%	2740695.9000	3197478.5400	0.65000
CL	TDDom	CLBZ00318	TDD_55%	1141956.3600	1370347.6200	0.55000
CL	TDDom	CLBZ00345	TDD_84%	22839135.6600	22839135.7200	0.84000
CL	TDDom	CLBZ00311	TDD_48%	685173.6000	685173.6600	0.48000
CL	TDExport	CLBZ00092	TDE_74%	1286.3400	1688.2800	0.74000
CL	TDDom	CLBZ00338	TDD_77%	9135654.0600	11419567.5600	0.77000
CL	TDDom	CLBZ00336	TDD_75%	6851740.4400	9135654.0000	0.75000
CL	TDExport	CLBZ00063	TDE_44%	48.3000	56.2200	0.44000
CL	TDExport	CLBZ00103	TDE_15%	0.1200	0.1800	0.15000
CL	TDExport	CLBZ00058	TDE_39%	24.1200	32.1600	0.39000
CL	TD3rd	CLBZ00238	TD3_53%	438.3600	511.3800	0.53000
CL	TDImport	CLBZ00155	TDI_46%	64.3200	80.4000	0.46000
CL	TD3rd	CLBZ00214	TD3_28%	29.1000	29.1600	0.28000
CL	TD3rd	CLBZ00258	TD3_73%	2191.8600	2557.1400	0.73000
CL	TDExport	CLBZ00056	TDE_37%	20.0400	20.1000	0.37000
CL	TDExport	CLBZ00087	TDE_69%	884.3400	884.4000	0.69000
CL	TDDom	CLBZ00299	TDD_36%	182712.5400	182712.6000	0.36000
CL	TD3rd	CLBZ00233	TD3_47%	292.2000	292.2600	0.47000
CL	TDImport	CLBZ00150	TDI_41%	32.1000	32.1600	0.41000
CL	TDExport	CLBZ00091	TDE_73%	1286.2800	1286.3400	0.73000
CL	TDImport	CLBZ00160	TDI_51%	112.5600	112.6200	0.51000
CL	TDDom	CLBZ00286	TDD_22%	45677.7600	45677.8200	0.22000
CL	TDExport	CLBZ00070	TDE_51%	88.3800	88.4400	0.51000
CL	TD3rd	CLBZ00215	TD3_29%	29.1600	43.8000	0.29000
CL	TD3rd	CLBZ00237	TD3_52%	4383.9000	438.3600	0.52000
CL	TDImport	CLBZ00169	TDI_61%	401.9400	482.4000	0.61000
CL	TD3rd	CLBZ00243	TD3_58%	657.4800	657.5400	0.58000
CL	TDImport	CLBZ00177	TDI_69%	1607.9400	1808.8800	0.69000
CL	TDDom	CLBZ00321	TDD_58%	1598739.0000	1598739.0600	0.58000
CL	TDImport	CLBZ00176	TDI_68%	1607.8800	1607.9400	0.68000
CL	TDImport	CLBZ00171	TDI_63%	562.8000	643.2000	0.63000
CL	TDImport	CLBZ00152	TDI_43%	48.2400	48.3000	0.43000
CL	TD3rd	CLBZ00217	TD3_31%	43.8600	58.3800	0.31000
CL	TDDom	CLBZ00273	TDD_09%	4567.3800	6851.2200	0.09000
CL	TDDom	CLBZ00294	TDD_30%	114195.1800	114195.2400	0.30000
CL	TDDom	CLBZ00315	TDD_52%	913564.9200	913564.9800	0.52000
CL	TDDom	CLBZ00340	TDD_79%	11419567.6200	13703481.1800	0.79000
CL	TDExport	CLBZ00098	TDE_80%	2492.3400	599999.9400	0.80000
CL	TD3rd	CLBZ00259	TD3_74%	2557.1400	3287.7600	0.74000
CL	TDDom	CLBZ00351	TDD_90%	59999999.8800	59999999.9400	0.90000
CL	TDDom	CLBZ00317	TDD_54%	1141956.3000	1141956.3600	0.54000
CL	TDExport	CLBZ00086	TDE_68%	723.5400	884.3400	0.68000
CL	TDDom	CLBZ00112	TDD_62%	2283913.1400	2283913.2000	0.62000
CL	TDDom	CLBZ00310	TDD_47%	570978.0000	685173.6000	0.47000
CL	TDDom	CLBZ00289	TDD_25%	54813.4200	68516.9400	0.25000
CL	TDDom	CLBZ00331	TDD_70%	4567826.7000	4567826.7600	0.70000
CL	TDDom	CLBZ00316	TDD_53%	913564.9800	1141956.3000	0.53000
CL	TDDom	CLBZ00313	TDD_50%	799369.2000	799369.2600	0.50000
CL	TDExport	CLBZ00062	TDE_43%	48.2400	48.3000	0.43000
CL	TDImport	CLBZ00170	TDI_62%	482.4000	562.8000	0.62000
CL	TDDom	CLBZ00347	TDD_86%	27406962.9600	27406963.0200	0.86000
CL	TD3rd	CLBZ00227	TD3_41%	131.5200	146.1000	0.41000
CL	TDExport	CLBZ00081	TDE_63%	361.8600	401.9400	0.63000
CL	TDExport	CLBZ00085	TDE_67%	643.2000	723.5400	0.67000
CL	TDExport	CLBZ00077	TDE_59%	200.9400	241.2000	0.59000
CL	TDExport	CLBZ00068	TDE_49%	80.4000	80.4600	0.49000
CL	TD3rd	CLBZ00235	TD3_50%	328.8000	365.2800	0.50000
CL	TDDom	CLBZ00337	TDD_76%	9135654.0000	9135654.0600	0.76000
CL	TDImport	CLBZ00106	TDI_57%	281.4000	321.5400	0.57000
CL	TD3rd	CLBZ00240	TD3_55%	511.4400	584.4600	0.55000
CL	TDImport	CLBZ00181	TDI_73%	2009.9400	2411.8800	0.73000
CL	TDImport	CLBZ00174	TDI_66%	1004.9400	1406.9400	0.66000
CL	TDExport	CLBZ00079	TDE_61%	281.4000	321.6000	0.61000
CL	TDDom	CLBZ00305	TDD_42%	365425.6200	365425.6800	0.42000
CL	TDDom	CLBZ00324	TDD_61%	1827130.5000	2283913.1400	0.61000
CL	TDDom	CLBZ00322	TDD_59%	1598739.0600	1827130.4400	0.59000
CL	TDDom	CLBZ00326	TDD_64%	2740695.8400	2740695.9000	0.64000
CL	TDDom	CLBZ00278	TDD_14%	13702.9800	13703.0400	0.14000
CL	TDImport	CLBZ00183	TDI_75%	2411.9400	2813.8200	0.75000
CL	TD3rd	CLBZ00219	TD3_33%	58.4400	73.0200	0.33000
CL	TDExport	CLBZ00089	TDE_71%	1085.3400	1085.4000	0.71000
CL	TDExport	CLBZ00084	TDE_66%	562.8000	643.2000	0.66000
CL	TD3rd	CLBZ00226	TD3_40%	131.4600	131.5200	0.40000
CL	TDDom	CLBZ00297	TDD_33%	137034.3600	159873.4800	0.33000
CL	TDDom	CLBZ00282	TDD_18%	27406.4400	27406.5000	0.18000
CL	TDImport	CLBZ00172	TDI_64%	643.2000	723.5400	0.64000
CL	TDDom	CLBZ00111	TDD_35%	159873.5400	182712.5400	0.35000
CL	TDImport	CLBZ00185	TDI_77%	2813.8800	3617.8200	0.77000
CL	TDImport	CLBZ00186	TDI_78%	3617.8200	3617.8800	0.78000
CL	TDExport	CLBZ00097	TDE_79%	2492.2800	2492.3400	0.79000
CL	TDDom	CLBZ00309	TDD_46%	570977.9400	570978.0000	0.46000
CL	TDImport	CLBZ00166	TDI_58%	321.5400	321.6000	0.58000
CL	TDImport	CLBZ00179	TDI_71%	1808.9400	2009.8800	0.71000
CL	TDDom	CLBZ00346	TDD_85%	22839135.7200	27406962.9600	0.85000
CL	TD3rd	CLBZ00230	TD3_44%	219.1800	255.6600	0.44000
CL	TDDom	CLBZ00113	TDD_67%	3197478.6000	3654261.2400	0.67000
CL	TDExport	CLBZ00095	TDE_77%	2090.2200	2090.2800	0.77000
CL	TDDom	CLBZ00306	TDD_43%	365425.6800	456782.2200	0.43000
CL	TD3rd	CLBZ00250	TD3_65%	1278.6000	1461.1800	0.65000
CL	TDImport	CLBZ00147	TDI_38%	16.1400	24.0600	0.38000
CL	TDImport	CLBZ00125	TDI_15%	0.1200	0.1800	0.15000
CL	TD3rd	CLBZ00252	TD3_67%	1461.2400	1643.8200	0.67000
CL	TDExport	CLBZ00025	TDE_05%	0.0000	0.0600	0.05000
CL	TDExport	CLBZ00071	TDE_52%	88.4400	104.4600	0.52000
CL	TDDom	CLBZ00293	TDD_29%	91356.1200	114195.1800	0.29000
CL	TDImport	CLBZ00187	TDI_79%	3617.8800	599999.8800	0.79000
CL	TDDom	CLBZ00328	TDD_66%	3197478.5400	3197478.6000	0.66000
CL	TDImport	CLBZ00154	TDI_45%	64.2600	64.3200	0.45000
CL	TD3rd	CLBZ00257	TD3_72%	2191.8000	2191.8600	0.72000
CL	TDExport	CLBZ00104	TDE_58%	168.7800	200.9400	0.58000
CL	TDExport	CLBZ00074	TDE_55%	120.6600	136.6200	0.55000
CL	TDDom	CLBZ00284	TDD_20%	36542.1000	36542.1600	0.20000
CL	TDImport	CLBZ00163	TDI_54%	160.7400	241.2000	0.54000
CL	TDDom	CLBZ00277	TDD_13%	9135.1800	13702.9800	0.13000
CL	TDDom	CLBZ00348	TDD_87%	27406963.0200	31974790.1400	0.87000
CL	TDExport	CLBZ00053	TDE_34%	8.0400	16.0800	0.34000
CL	TDDom	CLBZ00342	TDD_81%	13703481.2400	18271308.4200	0.81000
CL	TDImport	CLBZ00188	TDI_80%	599999.8800	599999.9400	0.80000
CL	TDDom	CLBZ00292	TDD_28%	91356.0600	91356.1200	0.28000
CL	TD3rd	CLBZ00254	TD3_69%	1643.8800	1826.4600	0.69000
CL	TDImport	CLBZ00130	TDI_20%	0.0600	11.8800	0.20000
CL	TDImport	CLBZ00146	TDI_37%	16.0800	16.1400	0.37000
CL	TD3rd	CLBZ00256	TD3_71%	1826.5200	2191.8000	0.71000
CL	TDExport	CLBZ00083	TDE_65%	482.4000	562.8000	0.65000
CL	TDDom	CLBZ00308	TDD_45%	456782.2800	570977.9400	0.45000
CL	TDDom	CLBZ00296	TDD_32%	137034.3000	137034.3600	0.32000
CL	TD3rd	CLBZ00260	TD3_75%	3287.7600	599999.4000	0.75000
CL	TDImport	CLBZ00167	TDI_59%	321.6000	361.8600	0.59000
CL	TDDom	CLBZ00272	TDD_08%	4567.3200	4567.3800	0.08000
CL	TDExport	CLBZ00060	TDE_41%	40.1400	40.2000	0.41000
CL	TD3rd	CLBZ00216	TD3_30%	43.8000	43.8600	0.30000
CL	TD3rd	CLBZ00223	TD3_37%	87.6600	102.2400	0.37000
CL	TD3rd	CLBZ00220	TD3_34%	73.0200	73.0800	0.34000
CL	TDImport	CLBZ00140	TDI_30%	11.9400	12.0000	0.30000
CL	TDDom	CLBZ00283	TDD_19%	27406.5000	36542.1000	0.19000
CL	TDImport	CLBZ00184	TDI_76%	2813.8200	2813.8800	0.76000
CL	TDDom	CLBZ00290	TDD_26%	68516.9400	68517.0000	0.26000
CL	TD3rd	CLBZ00247	TD3_62%	1095.8400	1095.9000	0.62000
CL	TDDom	CLBZ00344	TDD_83%	18271308.4800	22839135.6600	0.83000
CL	TDExport	CLBZ00090	TDE_72%	1085.4000	1286.2800	0.72000
CL	TD3rd	CLBZ00221	TD3_35%	73.0800	87.6000	0.35000
CL	TDImport	CLBZ00120	TDI_10%	0.0600	0.1200	0.10000
CL	TDDom	CLBZ00280	TDD_16%	18270.7800	18270.8400	0.16000
CL	TDImport	CLBZ00180	TDI_72%	2009.8800	2009.9400	0.72000
CL	TDDom	CLBZ00274	TDD_10%	6851.2200	6851.2800	0.10000
CL	TDExport	CLBZ00030	TDE_10%	0.0600	0.1200	0.10000
CL	TDDom	CLBZ00266	TDD_02%	913.0200	913.0800	0.02000
CL	TDExport	CLBZ00059	TDE_40%	32.1600	40.1400	0.40000
CL	TD3rd	CLBZ00232	TD3_46%	255.7200	292.2000	0.46000
CL	TDExport	CLBZ00080	TDE_62%	321.6000	361.8600	0.62000
CL	TDExport	CLBZ00054	TDE_35%	16.0800	16.1400	0.35000
CL	TDDom	CLBZ00339	TDD_78%	11419567.5600	11419567.6200	0.78000
CL	TDExport	CLBZ00088	TDE_70%	884.4000	1085.3400	0.70000
CL	TDExport	CLBZ00096	TDE_78%	2090.2800	2492.2800	0.78000
CL	TDDom	CLBZ00300	TDD_37%	182712.6000	228390.8400	0.37000
CL	TD3rd	CLBZ00212	TD3_26%	21.8400	21.9000	0.26000
CL	TD3rd	CLBZ00222	TD3_36%	87.6000	87.6600	0.36000
CL	TD3rd	CLBZ00193	TD3_05%	0.0000	0.0600	0.05000
CL	TD3rd	CLBZ00197	TD3_10%	0.0600	0.1200	0.10000
CL	TDDom	CLBZ00268	TDD_04%	1826.6400	1826.7000	0.04000
CL	TDDom	CLBZ00350	TDD_89%	31974790.2000	59999999.8800	0.89000
CL	TDDom	CLBZ00265	TDD_01%	0.0600	913.0200	0.01000
CL	TDImport	CLBZ00161	TDI_52%	112.6200	144.7200	0.52000
CL	TDImport	CLBZ00164	TDI_55%	241.2000	281.3400	0.55000
CL	TDImport	CLBZ00144	TDI_35%	12.0000	12.0600	0.35000
CL	TDExport	CLBZ00049	TDE_30%	7.9800	8.0400	0.30000
CL	TDImport	CLBZ00173	TDI_65%	723.5400	1004.9400	0.65000
CL	TDImport	CLBZ00175	TDI_67%	1406.9400	1607.8800	0.67000
CL	TDDom	CLBZ00332	TDD_71%	4567826.7600	5481392.1600	0.71000
CL	TDDom	CLBZ00271	TDD_07%	2740.2000	4567.3200	0.07000
CL	TD3rd	CLBZ00211	TD3_25%	14.6400	21.8400	0.25000
CL	TDImport	CLBZ00148	TDI_39%	24.0600	24.1200	0.39000
CL	TDExport	CLBZ00066	TDE_47%	64.2600	64.3200	0.47000
CL	TDDom	CLBZ00298	TDD_34%	159873.4800	159873.5400	0.34000
CL	TDExport	CLBZ00073	TDE_54%	104.5200	120.6600	0.54000
CL	TD3rd	CLBZ00251	TD3_66%	1461.1800	1461.2400	0.66000
CL	TDDom	CLBZ00276	TDD_12%	9135.1200	9135.1800	0.12000
CL	TDDom	CLBZ00330	TDD_69%	3654261.3000	4567826.7000	0.69000
CL	TDImport	CLBZ00151	TDI_42%	32.1600	48.2400	0.42000
CL	TDDom	CLBZ00279	TDD_15%	13703.0400	18270.7800	0.15000
CL	TDDom	CLBZ00307	TDD_44%	456782.2200	456782.2800	0.44000
CL	TDDom	CLBZ00320	TDD_57%	1370347.6800	1598739.0000	0.57000
CL	TDDom	CLBZ00304	TDD_41%	274069.1400	365425.6200	0.41000
CL	TDImport	CLBZ00182	TDI_74%	2411.8800	2411.9400	0.74000
CL	TD3rd	CLBZ00225	TD3_39%	102.3000	131.4600	0.39000
CL	TD3rd	CLBZ00205	TD3_18%	0.1800	14.5800	0.18000
CL	TD3rd	CLBZ00231	TD3_45%	255.6600	255.7200	0.45000
CL	TDDom	CLBZ00287	TDD_23%	45677.8200	54813.3600	0.23000
CL	TD3rd	CLBZ00253	TD3_68%	1643.8200	1643.8800	0.68000
CL	TDDom	CLBZ00334	TDD_73%	5481392.2200	6851740.3800	0.73000
CL	TDImport	CLBZ00165	TDI_56%	281.3400	281.4000	0.56000
CL	TDDom	CLBZ00319	TDD_56%	1370347.6200	1370347.6800	0.56000
CL	TD3rd	CLBZ00213	TD3_27%	21.9000	29.1000	0.27000
CL	TD3rd	CLBZ00242	TD3_57%	584.5200	657.4800	0.57000
CL	TDImport	CLBZ00156	TDI_47%	80.4000	80.4600	0.47000
CL	TDDom	CLBZ00270	TDD_06%	2740.1400	2740.2000	0.06000
CL	TD3rd	CLBZ00245	TD3_60%	913.2000	913.2600	0.60000
CL	TDExport	CLBZ00078	TDE_60%	241.2000	281.4000	0.60000
CL	TDDom	CLBZ00302	TDD_39%	228390.9000	274069.0800	0.39000
CL	TD3rd	CLBZ00241	TD3_56%	584.4600	584.5200	0.56000
CL	TDDom	CLBZ00269	TDD_05%	1826.7000	2740.1400	0.05000
CL	TDDom	CLBZ00323	TDD_60%	1827130.4400	1827130.5000	0.60000
CL	TDImport	CLBZ00162	TDI_53%	144.7200	160.7400	0.53000
CL	TDDom	CLBZ00312	TDD_49%	685173.6600	799369.2000	0.49000
CL	TDDom	CLBZ00333	TDD_72%	5481392.1600	5481392.2200	0.72000
CL	TDImport	CLBZ00149	TDI_40%	24.1200	32.1000	0.40000
CL	TDDom	CLBZ00314	TDD_51%	799369.2600	913564.9200	0.51000
CL	TDExport	CLBZ00064	TDE_45%	56.2200	56.2800	0.45000
CL	TD3rd	CLBZ00207	TD3_20%	14.5800	14.6400	0.20000
CL	TDImport	CLBZ00159	TDI_50%	96.4800	112.5600	0.50000
CL	TDExport	CLBZ00057	TDE_38%	20.1000	24.1200	0.38000
CL	TDDom	CLBZ00291	TDD_27%	68517.0000	91356.0600	0.27000
CL	TD3rd	CLBZ00244	TD3_59%	657.5400	913.2000	0.59000
CL	TD3rd	CLBZ00224	TD3_38%	102.2400	102.3000	0.38000
CL	TD3rd	CLBZ00218	TD3_32%	58.3800	58.4400	0.32000
CL	TD3rd	CLBZ00239	TD3_54%	511.3800	511.4400	0.54000
CL	TDExport	CLBZ00069	TDE_50%	80.4600	88.3800	0.50000
CL	TDExport	CLBZ00093	TDE_75%	1688.2800	1688.3400	0.75000
CL	TDExport	CLBZ00055	TDE_36%	16.1400	20.0400	0.36000
CL	TD3rd	CLBZ00229	TD3_43%	219.1200	219.1800	0.43000
CL	TDExport	CLBZ00076	TDE_57%	152.7600	168.7800	0.57000
CL	TDImport	CLBZ00153	TDI_44%	48.3000	64.2600	0.44000
CL	TD3rd	CLBZ00246	TD3_61%	913.2600	1095.8400	0.61000
CL	TDExport	CLBZ00072	TDE_53%	104.4600	104.5200	0.53000
CL	TDExport	CLBZ00039	TDE_20%	0.1800	7.9200	0.20000
CL	TDDom	CLBZ00275	TDD_11%	6851.2800	9135.1200	0.11000
CL	TDExport	CLBZ00061	TDE_42%	40.2000	48.2400	0.42000
CL	TDExport	CLBZ00075	TDE_56%	136.6200	152.7600	0.56000
CL	TD3rd	CLBZ00234	TD3_48%	292.2600	328.7400	0.48000
CL	TDDom	CLBZ00281	TDD_17%	18270.8400	27406.4400	0.17000
